timestamp,Solar Power
1,1
2,1
3,1
4,1
5,2
6,2
7,2
8,2
9,2
10,3
11,3
12,3
13,3
14,4
15,5
16,6
17,6
18,7
19,8
20,9
21,9
22,10
23,11
24,12
25,13
26,13
27,14
28,15
29,16
30,17
31,17
32,18
33,19
34,20
35,21
36,22
37,23
38,23
39,24
40,25
41,26
42,27
43,28
44,28
45,29
46,29
47,30
48,31
49,31
50,32
51,32
52,33
53,34
54,34
55,35
56,35
57,36
58,36
59,37
60,38
61,39
62,40
63,41
64,42
65,43
66,44
67,45
68,46
69,47
70,48
71,49
72,50
73,51
74,52
75,53
76,53
77,54
78,55
79,56
80,57
81,58
82,58
83,59
84,60
85,61
86,62
87,63
88,64
89,65
90,66
91,67
92,68
93,69
94,70
95,72
96,73
97,74
98,75
99,76
100,77
101,78
102,80
103,81
104,84
105,87
106,90
107,93
108,97
109,100
110,103
111,106
112,109
113,113
114,116
115,119
116,122
117,125
118,128
119,129
120,129
121,130
122,130
123,131
124,131
125,132
126,132
127,133
128,133
129,134
130,134
131,135
132,135
133,136
134,134
135,132
136,131
137,129
138,127
139,125
140,123
141,122
142,120
143,118
144,116
145,115
146,113
147,111
148,109
149,114
150,119
151,123
152,128
153,133
154,137
155,142
156,147
157,151
158,156
159,161
160,165
161,170
162,175
163,179
164,183
165,187
166,191
167,195
168,199
169,203
170,207
171,211
172,215
173,219
174,222
175,226
176,230
177,234
178,238
179,237
180,236
181,235
182,234
183,233
184,232
185,231
186,230
187,229
188,228
189,227
190,226
191,225
192,224
193,223
194,229
195,234
196,240
197,245
198,251
199,257
200,262
201,268
202,273
203,279
204,285
205,290
206,296
207,301
208,307
209,311
210,315
211,319
212,323
213,327
214,331
215,336
216,340
217,344
218,348
219,352
220,356
221,360
222,364
223,368
224,369
225,369
226,370
227,370
228,371
229,371
230,371
231,372
232,372
233,373
234,373
235,374
236,374
237,375
238,375
239,377
240,378
241,380
242,382
243,383
244,385
245,387
246,388
247,390
248,392
249,393
250,395
251,397
252,398
253,400
254,397
255,394
256,391
257,388
258,385
259,382
260,379
261,376
262,373
263,370
264,367
265,364
266,361
267,358
268,355
269,357
270,358
271,360
272,361
273,363
274,364
275,366
276,367
277,369
278,370
279,372
280,373
281,375
282,376
283,378
284,378
285,378
286,378
287,378
288,378
289,378
290,378
291,378
292,377
293,377
294,377
295,377
296,377
297,377
298,377
299,378
300,379
301,380
302,381
303,382
304,383
305,384
306,385
307,386
308,386
309,387
310,388
311,389
312,390
313,391
314,390
315,388
316,387
317,385
318,384
319,382
320,381
321,379
322,378
323,376
324,375
325,373
326,371
327,370
328,368
329,366
330,364
331,362
332,360
333,358
334,356
335,354
336,352
337,350
338,348
339,345
340,343
341,341
342,339
343,337
344,337
345,338
346,338
347,338
348,338
349,339
350,339
351,339
352,339
353,339
354,340
355,340
356,340
357,340
358,341
359,340
360,340
361,340
362,339
363,339
364,339
365,338
366,338
367,338
368,338
369,337
370,337
371,337
372,336
373,336
374,333
375,330
376,327
377,324
378,321
379,318
380,315
381,311
382,308
383,305
384,302
385,299
386,296
387,293
388,290
389,296
390,303
391,309
392,316
393,322
394,329
395,335
396,341
397,348
398,354
399,361
400,367
401,374
402,380
403,387
404,378
405,369
406,360
407,351
408,342
409,333
410,324
411,315
412,307
413,298
414,289
415,280
416,271
417,262
418,253
419,258
420,262
421,266
422,271
423,275
424,279
425,284
426,288
427,293
428,297
429,301
430,306
431,310
432,314
433,319
434,317
435,315
436,314
437,312
438,310
439,308
440,306
441,305
442,303
443,301
444,299
445,298
446,296
447,294
448,292
449,291
450,289
451,287
452,285
453,283
454,282
455,280
456,278
457,276
458,275
459,273
460,271
461,269
462,268
463,266
464,270
465,274
466,278
467,283
468,287
469,291
470,295
471,299
472,303
473,308
474,312
475,316
476,320
477,324
478,328
479,328
480,328
481,328
482,328
483,328
484,328
485,328
486,328
487,328
488,328
489,327
490,327
491,327
492,327
493,327
494,328
495,330
496,331
497,332
498,333
499,334
500,336
501,337
502,338
503,339
504,340
505,342
506,343
507,344
508,345
509,347
510,348
511,349
512,350
513,352
514,353
515,354
516,355
517,357
518,358
519,359
520,361
521,362
522,363
523,364
524,361
525,358
526,355
527,352
528,349
529,345
530,342
531,339
532,336
533,333
534,329
535,326
536,323
537,320
538,317
539,317
540,318
541,319
542,319
543,320
544,321
545,321
546,322
547,323
548,323
549,324
550,325
551,325
552,326
553,326
554,325
555,324
556,322
557,321
558,320
559,318
560,317
561,316
562,314
563,313
564,312
565,310
566,309
567,308
568,306
569,301
570,296
571,290
572,285
573,280
574,274
575,269
576,264
577,259
578,253
579,248
580,243
581,237
582,232
583,227
584,227
585,228
586,228
587,229
588,230
589,230
590,231
591,231
592,232
593,232
594,233
595,233
596,234
597,234
598,235
599,230
600,225
