Scenario,BatteryCap,Leakage,Algorithm,GridCost,GridEnergy,TasksSolar,TasksGrid,TasksDropped,Completion
S0_T0,0,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,0,0.99,GG,307905,1.85145e+06,9642,16645,0,100
S0_T0,0,0.99,SDC,319673,1.95303e+06,0,26287,0,100
S0_T0,0,0.99,SP+SDC,307905,1.85145e+06,9642,16645,0,100
S0_T0,0,0.99,Lyapunov,307905,1.85145e+06,9642,16645,0,100
S0_T0,0,0.99,SF-Only,307905,1.85145e+06,9642,16645,0,100
S0_T0,0,0.99,GF-Only,307905,1.85145e+06,9642,16645,0,100
S0_T0,0,0.99,H-GES,307905,1.85145e+06,9642,16645,0,100
S0_T0,2000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,2000,0.99,GG,307821,1.85045e+06,9850,16437,0,100
S0_T0,2000,0.99,SDC,322263,1.96943e+06,0,26287,0,100
S0_T0,2000,0.99,SP+SDC,308931,1.86058e+06,9837,16450,0,100
S0_T0,2000,0.99,Lyapunov,296216,1.7936e+06,15600,10687,0,100
S0_T0,2000,0.99,SF-Only,307814,1.85036e+06,9810,16477,0,100
S0_T0,2000,0.99,GF-Only,298752,1.81599e+06,15095,11192,0,100
S0_T0,2000,0.99,H-GES,284529,1.74289e+06,15775,10512,0,100
S0_T0,4000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,4000,0.99,GG,307798,1.85023e+06,9894,16393,0,100
S0_T0,4000,0.99,SDC,324895,1.98407e+06,0,26287,0,100
S0_T0,4000,0.99,SP+SDC,310181,1.87207e+06,9850,16437,0,100
S0_T0,4000,0.99,Lyapunov,296452,1.79588e+06,15567,10720,0,100
S0_T0,4000,0.99,SF-Only,307810,1.8503e+06,9850,16437,0,100
S0_T0,4000,0.99,GF-Only,300471,1.83315e+06,14922,11365,0,100
S0_T0,4000,0.99,H-GES,285457,1.75403e+06,15808,10479,0,100
S0_T0,8000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,8000,0.99,GG,307779,1.85003e+06,9965,16322,0,100
S0_T0,8000,0.99,SDC,330669,2.01199e+06,0,26287,0,100
S0_T0,8000,0.99,SP+SDC,312511,1.8929e+06,9894,16393,0,100
S0_T0,8000,0.99,Lyapunov,297385,1.80156e+06,15678,10609,0,100
S0_T0,8000,0.99,SF-Only,307800,1.85019e+06,9921,16366,0,100
S0_T0,8000,0.99,GF-Only,302125,1.85527e+06,14922,11365,0,100
S0_T0,8000,0.99,H-GES,286816,1.77035e+06,15866,10421,0,100
S0_T0,10000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.99,GG,307768,1.84992e+06,9998,16289,0,100
S0_T0,10000,0.99,SDC,332190,2.02207e+06,0,26287,0,100
S0_T0,10000,0.99,SP+SDC,313758,1.90482e+06,9916,16371,0,100
S0_T0,10000,0.99,Lyapunov,297518,1.80306e+06,15773,10514,0,100
S0_T0,10000,0.99,SF-Only,307791,1.85008e+06,9955,16332,0,100
S0_T0,10000,0.99,GF-Only,302761,1.8629e+06,14934,11353,0,100
S0_T0,10000,0.99,H-GES,287007,1.77263e+06,15892,10395,0,100
S0_T0,15000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,15000,0.99,GG,307750,1.84959e+06,10057,16230,0,100
S0_T0,15000,0.99,SDC,338070,2.05272e+06,0,26287,0,100
S0_T0,15000,0.99,SP+SDC,315323,1.92836e+06,9954,16333,0,100
S0_T0,15000,0.99,Lyapunov,298016,1.80777e+06,16230,10057,0,100
S0_T0,15000,0.99,SF-Only,307753,1.84963e+06,10018,16269,0,100
S0_T0,15000,0.99,GF-Only,303343,1.86995e+06,14997,11290,0,100
S0_T0,15000,0.99,H-GES,287091,1.77364e+06,15946,10341,0,100
S0_T0,20000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,20000,0.99,GG,307708,1.84918e+06,10108,16179,0,100
S0_T0,20000,0.99,SDC,346064,2.083e+06,0,26287,0,100
S0_T0,20000,0.99,SP+SDC,317761,1.95154e+06,9998,16289,0,100
S0_T0,20000,0.99,Lyapunov,298208,1.81032e+06,16313,9974,0,100
S0_T0,20000,0.99,SF-Only,307731,1.84937e+06,10066,16221,0,100
S0_T0,20000,0.99,GF-Only,303315,1.8697e+06,15049,11238,0,100
S0_T0,20000,0.99,H-GES,287091,1.77364e+06,15991,10296,0,100
