Scenario,BatteryCap,Leakage,Algorithm,GridCost,GridEnergy,TasksSolar,TasksGrid,TasksDropped,Completion
S0_T0,10000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.99,GG,307768,1.84992e+06,9998,16289,0,100
S0_T0,10000,0.99,SDC,332190,2.02207e+06,0,26287,0,100
S0_T0,10000,0.99,SP+SDC,313758,1.90482e+06,9916,16371,0,100
S0_T0,10000,0.99,Lyapunov,297518,1.80306e+06,15773,10514,0,100
S0_T0,10000,0.99,SF-Only,307791,1.85008e+06,9955,16332,0,100
S0_T0,10000,0.99,GF-Only,302761,1.8629e+06,14934,11353,0,100
S0_T0,10000,0.99,H-GES,287007,1.77263e+06,15892,10395,0,100
S5_T5,10000,0.99,NaiveGrid,321970,1.96735e+06,0,26589,0,100
S5_T5,10000,0.99,GG,309230,1.85904e+06,10128,16461,0,100
S5_T5,10000,0.99,SDC,335249,2.03796e+06,0,26589,0,100
S5_T5,10000,0.99,SP+SDC,315279,1.91414e+06,10052,16537,0,100
S5_T5,10000,0.99,Lyapunov,298239,1.80768e+06,15830,10759,0,100
S5_T5,10000,0.99,SF-Only,309257,1.85926e+06,10083,16506,0,100
S5_T5,10000,0.99,GF-Only,303713,1.86731e+06,14967,11622,0,100
S5_T5,10000,0.99,H-GES,287948,1.77911e+06,15815,10774,0,100
S10_T10,10000,0.99,NaiveGrid,368686,2.24872e+06,0,27024,0,100
S10_T10,10000,0.99,GG,355499,2.13687e+06,10248,16776,0,100
S10_T10,10000,0.99,SDC,381592,2.31616e+06,0,27024,0,100
S10_T10,10000,0.99,SP+SDC,361141,2.18923e+06,10171,16853,0,100
S10_T10,10000,0.99,Lyapunov,341962,2.07017e+06,15875,11149,0,100
S10_T10,10000,0.99,SF-Only,355525,2.13707e+06,10202,16822,0,100
S10_T10,10000,0.99,GF-Only,347851,2.13366e+06,14943,12081,0,100
S10_T10,10000,0.99,H-GES,334745,2.04406e+06,14305,12719,0,100
S20_T20,10000,0.99,NaiveGrid,354887,2.16396e+06,0,27724,0,100
S20_T20,10000,0.99,GG,340127,2.04545e+06,10420,17304,0,100
S20_T20,10000,0.99,SDC,370032,2.24945e+06,0,27724,0,100
S20_T20,10000,0.99,SP+SDC,347061,2.10486e+06,10342,17382,0,100
S20_T20,10000,0.99,Lyapunov,323189,1.95302e+06,15888,11836,0,100
S20_T20,10000,0.99,SF-Only,340130,2.04548e+06,10377,17347,0,100
S20_T20,10000,0.99,GF-Only,330195,2.02206e+06,14725,12999,0,100
S20_T20,10000,0.99,H-GES,318644,1.95032e+06,15137,12587,0,100
