Scenario,BatteryCap,Leakage,Algorithm,GridCost,GridEnergy,TasksSolar,TasksGrid,TasksDropped,Completion
S0_T0,10000,0.5,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.5,GG,307864,1.85095e+06,9718,16569,0,100
S0_T0,10000,0.5,SDC,391280,2.35058e+06,0,26287,0,100
S0_T0,10000,0.5,SP+SDC,362868,2.22194e+06,9718,16569,0,100
S0_T0,10000,0.5,Lyapunov,322507,1.97383e+06,10595,15692,0,100
S0_T0,10000,0.5,SF-Only,307842,1.8507e+06,9708,16579,0,100
S0_T0,10000,0.5,GF-Only,324306,1.98745e+06,10303,15984,0,100
S0_T0,10000,0.5,H-GES,299369,1.82539e+06,11516,14771,0,100
S0_T0,10000,0.75,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.75,GG,307837,1.85064e+06,9767,16520,0,100
S0_T0,10000,0.75,SDC,382207,2.29601e+06,0,26287,0,100
S0_T0,10000,0.75,SP+SDC,353901,2.16764e+06,9767,16520,0,100
S0_T0,10000,0.75,Lyapunov,317229,1.94192e+06,11458,14829,0,100
S0_T0,10000,0.75,SF-Only,307828,1.85052e+06,9741,16546,0,100
S0_T0,10000,0.75,GF-Only,319147,1.95627e+06,10988,15299,0,100
S0_T0,10000,0.75,H-GES,293368,1.79203e+06,12855,13432,0,100
S0_T0,10000,0.85,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.85,GG,307823,1.85051e+06,9795,16492,0,100
S0_T0,10000,0.85,SDC,376210,2.26003e+06,0,26287,0,100
S0_T0,10000,0.85,SP+SDC,347966,2.1346e+06,9795,16492,0,100
S0_T0,10000,0.85,Lyapunov,313292,1.91813e+06,12230,14057,0,100
S0_T0,10000,0.85,SF-Only,307824,1.85047e+06,9759,16528,0,100
S0_T0,10000,0.85,GF-Only,315356,1.93339e+06,11632,14655,0,100
S0_T0,10000,0.85,H-GES,290862,1.78149e+06,13353,12934,0,100
S0_T0,10000,0.9,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.9,GG,307827,1.85051e+06,9810,16477,0,100
S0_T0,10000,0.9,SDC,375843,2.25782e+06,0,26287,0,100
S0_T0,10000,0.9,SP+SDC,344866,2.11599e+06,9810,16477,0,100
S0_T0,10000,0.9,Lyapunov,310875,1.90495e+06,12858,13429,0,100
S0_T0,10000,0.9,SF-Only,307820,1.85043e+06,9772,16515,0,100
S0_T0,10000,0.9,GF-Only,312963,1.91892e+06,12150,14137,0,100
S0_T0,10000,0.9,H-GES,289309,1.79001e+06,14783,11504,0,100
S0_T0,10000,0.95,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.95,GG,307795,1.85024e+06,9844,16443,0,100
S0_T0,10000,0.95,SDC,370618,2.22647e+06,0,26287,0,100
S0_T0,10000,0.95,SP+SDC,329977,2.02666e+06,9844,16443,0,100
S0_T0,10000,0.95,Lyapunov,305715,1.86203e+06,13946,12341,0,100
S0_T0,10000,0.95,SF-Only,307813,1.85035e+06,9797,16490,0,100
S0_T0,10000,0.95,GF-Only,309420,1.89742e+06,13138,13149,0,100
S0_T0,10000,0.95,H-GES,288253,1.78222e+06,15275,11012,0,100
S0_T0,10000,0.99,NaiveGrid,319673,1.95303e+06,0,26287,0,100
S0_T0,10000,0.99,GG,307768,1.84992e+06,9998,16289,0,100
S0_T0,10000,0.99,SDC,332190,2.02207e+06,0,26287,0,100
S0_T0,10000,0.99,SP+SDC,313758,1.90482e+06,9916,16371,0,100
S0_T0,10000,0.99,Lyapunov,297518,1.80306e+06,15773,10514,0,100
S0_T0,10000,0.99,SF-Only,307791,1.85008e+06,9955,16332,0,100
S0_T0,10000,0.99,GF-Only,302761,1.8629e+06,14934,11353,0,100
S0_T0,10000,0.99,H-GES,287007,1.77263e+06,15892,10395,0,100
